event_id;match_id;event_type_id;minute;second;team_id;player_id;related_player_id;value;notes;external_id;event_type_code;event_type_name;player_first_name;player_last_name;related_player_first_name;related_player_last_name;event_team_name;relation_to_selected_team
7681;326;7;60;0;15;1044;1019;substitution_out | source:liveticker;Wechsel : Adrian Beck => Jan Schöppner;;SUBSTITUTION_OUT;Auswechslung;Jan;Schöppner;Adrian;Beck;1. FC Heidenheim 1846;own
7682;326;6;60;0;15;1019;1044;substitution_in | source:liveticker;Wechsel : Adrian Beck => Jan Schöppner;;SUBSTITUTION_IN;Einwechslung;Adrian;Beck;Jan;Schöppner;1. FC Heidenheim 1846;own
7683;326;7;60;0;15;1013;1017;substitution_out | source:liveticker;Wechsel : Mathias Honsak => Arijon Ibrahimovic;;SUBSTITUTION_OUT;Auswechslung;Arijon;Ibrahimovic;Mathias;Honsak;1. FC Heidenheim 1846;own
7684;326;6;60;0;15;1017;1013;substitution_in | source:liveticker;Wechsel : Mathias Honsak => Arijon Ibrahimovic;;SUBSTITUTION_IN;Einwechslung;Mathias;Honsak;Arijon;Ibrahimovic;1. FC Heidenheim 1846;own
7679;326;7;62;0;16;1437;1087;substitution_out | source:liveticker;Wechsel : Linton Maina => Fynn Schenten;;SUBSTITUTION_OUT;Auswechslung;Fynn;Schenten;Linton;Maina;1. FC Köln;opponent
7680;326;6;62;0;16;1087;1437;substitution_in | source:liveticker;Wechsel : Linton Maina => Fynn Schenten;;SUBSTITUTION_IN;Einwechslung;Linton;Maina;Fynn;Schenten;1. FC Köln;opponent
7675;326;7;75;0;16;803;826;substitution_out | source:liveticker;Wechsel : Marius Bülter => Jan Uwe Thielmann;;SUBSTITUTION_OUT;Auswechslung;Jan Uwe;Thielmann;Marius;Bülter;1. FC Köln;opponent
7676;326;6;75;0;16;826;803;substitution_in | source:liveticker;Wechsel : Marius Bülter => Jan Uwe Thielmann;;SUBSTITUTION_IN;Einwechslung;Marius;Bülter;Jan Uwe;Thielmann;1. FC Köln;opponent
7677;326;7;75;0;16;1131;805;substitution_out | source:liveticker;Wechsel : Kristoffer Lund Hansen => Alessio Castro-Montes;;SUBSTITUTION_OUT;Auswechslung;Alessio;Castro-Montes;Kristoffer Lund;Hansen;1. FC Köln;opponent
7678;326;6;75;0;16;805;1131;substitution_in | source:liveticker;Wechsel : Kristoffer Lund Hansen => Alessio Castro-Montes;;SUBSTITUTION_IN;Einwechslung;Kristoffer Lund;Hansen;Alessio;Castro-Montes;1. FC Köln;opponent
7671;326;7;78;0;15;1047;1005;substitution_out | source:liveticker;Wechsel : Marnon Busch => Omar Haktab Traoré;;SUBSTITUTION_OUT;Auswechslung;Omar Haktab;Traoré;Marnon;Busch;1. FC Heidenheim 1846;own
7672;326;6;78;0;15;1005;1047;substitution_in | source:liveticker;Wechsel : Marnon Busch => Omar Haktab Traoré;;SUBSTITUTION_IN;Einwechslung;Marnon;Busch;Omar Haktab;Traoré;1. FC Heidenheim 1846;own
7673;326;7;78;0;15;1232;1138;substitution_out | source:liveticker;Wechsel : Stefan Schimmer => Marvin Pieringer;;SUBSTITUTION_OUT;Auswechslung;Marvin;Pieringer;Stefan;Schimmer;1. FC Heidenheim 1846;own
7674;326;6;78;0;15;1138;1232;substitution_in | source:liveticker;Wechsel : Stefan Schimmer => Marvin Pieringer;;SUBSTITUTION_IN;Einwechslung;Stefan;Schimmer;Marvin;Pieringer;1. FC Heidenheim 1846;own
7669;326;7;83;0;15;1059;1022;substitution_out | source:liveticker;Wechsel : Mikkel Kaufmann => Sirlord Conteh;;SUBSTITUTION_OUT;Auswechslung;Sirlord;Conteh;Mikkel;Kaufmann;1. FC Heidenheim 1846;own
7670;326;6;83;0;15;1022;1059;substitution_in | source:liveticker;Wechsel : Mikkel Kaufmann => Sirlord Conteh;;SUBSTITUTION_IN;Einwechslung;Mikkel;Kaufmann;Sirlord;Conteh;1. FC Heidenheim 1846;own
7667;326;7;90;0;16;815;1463;substitution_out | source:liveticker;Wechsel : Youssoupha Niang => Ragnar Prince Friedel Ache;;SUBSTITUTION_OUT;Auswechslung;Ragnar Prince Friedel;Ache;Youssoupha;Niang;1. FC Köln;opponent
7668;326;6;90;0;16;1463;815;substitution_in | source:liveticker;Wechsel : Youssoupha Niang => Ragnar Prince Friedel Ache;;SUBSTITUTION_IN;Einwechslung;Youssoupha;Niang;Ragnar Prince Friedel;Ache;1. FC Köln;opponent
7743;328;1;30;0;18;798;;source:liveticker | 1:0;Tor : Silvan Dominic Widmer;;GOAL;Tor;Silvan Dominic;Widmer;;;1. FSV Mainz 05;opponent
7741;328;7;34;0;18;1077;1246;substitution_out | source:liveticker;Wechsel : Kacper Potulski => Nikolas Konrad Veratschnig;;SUBSTITUTION_OUT;Auswechslung;Nikolas Konrad;Veratschnig;Kacper;Potulski;1. FSV Mainz 05;opponent
7742;328;6;34;0;18;1246;1077;substitution_in | source:liveticker;Wechsel : Kacper Potulski => Nikolas Konrad Veratschnig;;SUBSTITUTION_IN;Einwechslung;Kacper;Potulski;Nikolas Konrad;Veratschnig;1. FSV Mainz 05;opponent
7740;328;3;45;0;18;791;;source:liveticker | 1:0;Gelbe Karte : Dominik Kohr;;YELLOW_CARD;Gelbe Karte;Dominik;Kohr;;;1. FSV Mainz 05;opponent
7738;328;7;46;0;15;1044;1059;substitution_out | source:liveticker;Wechsel : Sirlord Conteh => Jan Schöppner;;SUBSTITUTION_OUT;Auswechslung;Jan;Schöppner;Sirlord;Conteh;1. FC Heidenheim 1846;own
7739;328;6;46;0;15;1059;1044;substitution_in | source:liveticker;Wechsel : Sirlord Conteh => Jan Schöppner;;SUBSTITUTION_IN;Einwechslung;Sirlord;Conteh;Jan;Schöppner;1. FC Heidenheim 1846;own
7737;328;1;49;0;18;786;;source:liveticker | 2:0;Tor : Nadiem Amiri;;GOAL;Tor;Nadiem;Amiri;;;1. FSV Mainz 05;opponent
7736;328;3;54;0;15;1232;;source:liveticker | 2:0;Gelbe Karte : Marvin Pieringer;;YELLOW_CARD;Gelbe Karte;Marvin;Pieringer;;;1. FC Heidenheim 1846;own
7734;328;7;58;0;15;1022;1138;substitution_out | source:liveticker;Wechsel : Stefan Schimmer => Mikkel Kaufmann;;SUBSTITUTION_OUT;Auswechslung;Mikkel;Kaufmann;Stefan;Schimmer;1. FC Heidenheim 1846;own
7735;328;6;58;0;15;1138;1022;substitution_in | source:liveticker;Wechsel : Stefan Schimmer => Mikkel Kaufmann;;SUBSTITUTION_IN;Einwechslung;Stefan;Schimmer;Mikkel;Kaufmann;1. FC Heidenheim 1846;own
7730;328;7;59;0;18;795;785;substitution_out | source:liveticker;Wechsel : Paul Nebel => Armindo Sieb;;SUBSTITUTION_OUT;Auswechslung;Armindo;Sieb;Paul;Nebel;1. FSV Mainz 05;opponent
7731;328;6;59;0;18;785;795;substitution_in | source:liveticker;Wechsel : Paul Nebel => Armindo Sieb;;SUBSTITUTION_IN;Einwechslung;Paul;Nebel;Armindo;Sieb;1. FSV Mainz 05;opponent
7732;328;7;59;0;15;1232;1019;substitution_out | source:liveticker;Wechsel : Adrian Beck => Marvin Pieringer;;SUBSTITUTION_OUT;Auswechslung;Marvin;Pieringer;Adrian;Beck;1. FC Heidenheim 1846;own
7733;328;6;59;0;15;1019;1232;substitution_in | source:liveticker;Wechsel : Adrian Beck => Marvin Pieringer;;SUBSTITUTION_IN;Einwechslung;Adrian;Beck;Marvin;Pieringer;1. FC Heidenheim 1846;own
7729;328;1;60;0;15;1138;;source:liveticker | 2:1;Tor : Stefan Schimmer;;GOAL;Tor;Stefan;Schimmer;;;1. FC Heidenheim 1846;own
7728;328;3;66;0;18;1466;;source:liveticker | 2:1;Gelbe Karte TO : Markus Hoffmann;;YELLOW_CARD;Gelbe Karte;Markus;Hoffmann;;;1. FSV Mainz 05;opponent
