lineup_id;match_id;team_id;player_id;is_starting;shirt_number;position
9286;262;15;1014;0;30;
9367;264;15;1016;1;16;
9368;264;15;1017;1;17;
9369;264;15;1012;1;19;
9370;264;15;1013;1;22;
9371;264;15;1020;1;23;
9372;264;15;1004;1;41;Torwart
9373;264;15;1005;1;2;
9374;264;15;1006;1;3;
9375;264;15;1007;1;4;
9376;264;15;1009;1;6;
9377;264;15;1011;1;11;
9378;264;15;1015;0;1;Torwart
9379;264;15;1008;0;5;
9380;264;15;1138;0;9;
9381;264;15;1232;0;18;
9382;264;15;1018;0;20;
9383;264;15;1019;0;21;
9384;264;15;1197;0;27;
9385;264;15;1021;0;28;
9386;264;15;1014;0;30;
9987;280;15;1004;1;41;Torwart
9988;280;15;1006;1;3;
9989;280;15;1007;1;4;
9990;280;15;1009;1;6;
9991;280;15;1017;1;17;
9992;280;15;1232;1;18;
9993;280;15;1012;1;19;
9994;280;15;1019;1;21;
9995;280;15;1013;1;22;
9996;280;15;1020;1;23;
9997;280;15;1014;1;30;
9998;280;15;1015;0;1;Torwart
9999;280;15;1005;0;2;
10000;280;15;1008;0;5;
10001;280;15;1138;0;9;
10002;280;15;1011;0;11;
10003;280;15;1016;0;16;
10004;280;15;1018;0;20;
10005;280;15;1197;0;27;
10006;280;15;1021;0;28;
10327;288;15;1232;1;18;
10328;288;15;1012;1;19;
10329;288;15;1019;1;21;
10330;288;15;1197;1;27;
10331;288;15;1014;1;30;
10332;288;15;1004;1;41;Torwart
10333;288;15;1005;1;2;
10334;288;15;1008;1;5;
10335;288;15;1009;1;6;
10336;288;15;1016;1;16;
10337;288;15;1017;1;17;
10338;288;15;1015;0;1;Torwart
10339;288;15;1006;0;3;
10340;288;15;1007;0;4;
10341;288;15;1138;0;9;
10342;288;15;1018;0;20;
10343;288;15;1013;0;22;
10344;288;15;1020;0;23;
10345;288;15;1021;0;28;
10346;288;15;1023;0;38;
10667;297;15;1004;1;41;Torwart
10668;297;15;1005;1;2;
10669;297;15;1006;1;3;
10670;297;15;1008;1;5;
10671;297;15;1009;1;6;
10672;297;15;1016;1;16;
10673;297;15;1017;1;17;
10674;297;15;1232;1;18;
10675;297;15;1012;1;19;
10676;297;15;1197;1;27;
10677;297;15;1014;1;30;
10678;297;15;1015;0;1;Torwart
10679;297;15;1007;0;4;
10680;297;15;1138;0;9;
10681;297;15;1018;0;20;
10682;297;15;1019;0;21;
10683;297;15;1013;0;22;
10684;297;15;1020;0;23;
10685;297;15;1021;0;28;
10686;297;15;1023;0;38;
11085;307;15;1232;1;18;
11086;307;15;1012;1;19;
11087;307;15;1019;1;21;
11088;307;15;1013;1;22;
11089;307;15;1197;1;27;
11090;307;15;1004;1;41;Torwart
11091;307;15;1005;1;2;
11092;307;15;1006;1;3;
11093;307;15;1007;1;4;
11094;307;15;1009;1;6;
11095;307;15;1016;1;16;
11096;307;15;1015;0;1;Torwart
11097;307;15;1008;0;5;
11098;307;15;1138;0;9;
11099;307;15;1017;0;17;
11100;307;15;1018;0;20;
11101;307;15;1020;0;23;
11102;307;15;1021;0;28;
11103;307;15;1022;0;29;
11104;307;15;1014;0;30;
11385;315;15;1004;1;41;Torwart
11386;315;15;1005;1;2;
11387;315;15;1006;1;3;
11388;315;15;1008;1;5;
11389;315;15;1009;1;6;
11390;315;15;1017;1;17;
11391;315;15;1232;1;18;
11392;315;15;1012;1;19;
11393;315;15;1018;1;20;
11394;315;15;1020;1;23;
11395;315;15;1014;1;30;
11396;315;15;1015;0;1;Torwart
11397;315;15;1007;0;4;
11398;315;15;1138;0;9;
11399;315;15;1016;0;16;
11400;315;15;1019;0;21;
11401;315;15;1013;0;22;
11402;315;15;1021;0;28;
11403;315;15;1022;0;29;
11404;315;15;1059;0;31;
11822;326;15;1004;1;41;Torwart
11823;326;15;1006;1;3;
11824;326;15;1007;1;4;
11825;326;15;1009;1;6;
11826;326;15;1016;1;16;
11827;326;15;1232;1;18;
11828;326;15;1012;1;19;
11829;326;15;1013;1;22;
11830;326;15;1020;1;23;
11831;326;15;1014;1;30;
11832;326;15;1059;1;31;
11833;326;15;1460;0;40;Torwart
11834;326;15;1005;0;2;
11835;326;15;1008;0;5;
11836;326;15;1138;0;9;
11837;326;15;1017;0;17;
11838;326;15;1018;0;20;
11839;326;15;1019;0;21;
11840;326;15;1022;0;29;
11841;326;15;1023;0;38;
11922;328;15;1012;1;19;
11923;328;15;1013;1;22;
11924;328;15;1020;1;23;
11925;328;15;1022;1;29;
11926;328;15;1014;1;30;
11927;328;15;1004;1;41;Torwart
11928;328;15;1006;1;3;
11929;328;15;1008;1;5;
11930;328;15;1009;1;6;
11931;328;15;1016;1;16;
11932;328;15;1232;1;18;
11933;328;15;1460;0;40;Torwart
11934;328;15;1005;0;2;
11935;328;15;1007;0;4;
11936;328;15;1138;0;9;
11937;328;15;1017;0;17;
11938;328;15;1018;0;20;
11939;328;15;1019;0;21;
11940;328;15;1059;0;31;
11941;328;15;1023;0;38;
12400;340;15;1232;1;18;
12401;340;15;1012;1;19;
12402;340;15;1019;1;21;
12403;340;15;1013;1;22;
12404;340;15;1014;1;30;
12405;340;15;1004;1;41;Torwart
12406;340;15;1005;1;2;
12407;340;15;1006;1;3;
12408;340;15;1008;1;5;
12409;340;15;1009;1;6;
12410;340;15;1017;1;17;
12411;340;15;1460;0;40;Torwart
12412;340;15;1007;0;4;
12413;340;15;1138;0;9;
12414;340;15;1016;0;16;
12415;340;15;1018;0;20;
12416;340;15;1020;0;23;
12417;340;15;1302;0;25;
12418;340;15;1022;0;29;
12419;340;15;1023;0;38;
12899;353;15;1004;1;41;Torwart
