key;value
competition_id;2
competition_name;Bundesliga
season_id;1
season_name;2025/26
league_id;2
league_name;Bundesliga
team_id;15
team_name;1. FC Heidenheim 1846
club_id;15
club_name;1. FC Heidenheim 1846
match_count;34
player_count;42
