player_match_stat_id;match_id;team_id;player_id;is_starting;was_substituted_in;was_substituted_out;minute_in;minute_out;minutes_played;goals;own_goals;assists;yellow_cards;yellow_red_cards;red_cards;clean_sheet;shirt_number;position;created_at;updated_at
24955;193;15;1060;0;0;0;;;0;0;0;0;0;0;0;0;32;;2026-08-29 09:22:36;2026-08-29 09:22:36
24976;193;15;1047;0;1;0;77;90;13;0;0;0;0;0;0;0;;;2026-08-29 09:22:36;2026-08-29 09:22:36
25619;209;15;1006;1;0;0;0;90;90;0;0;0;0;0;0;0;3;;2026-08-29 09:22:36;2026-08-29 09:22:36
25620;209;15;1008;1;0;1;0;46;46;0;0;0;1;0;0;0;5;;2026-08-29 09:22:36;2026-08-29 09:22:36
25621;209;15;1009;1;0;0;0;90;90;0;0;0;0;0;0;0;6;;2026-08-29 09:22:36;2026-08-29 09:22:36
25622;209;15;1011;1;0;0;0;21;21;0;0;0;0;0;1;0;11;;2026-08-29 09:22:36;2026-08-29 09:22:36
25623;209;15;1017;1;0;1;0;70;70;0;0;0;0;0;0;0;17;;2026-08-29 09:22:36;2026-08-29 09:22:36
25624;209;15;1018;1;0;0;0;90;90;0;0;0;0;0;0;0;20;;2026-08-29 09:22:36;2026-08-29 09:22:36
25625;209;15;1019;1;0;1;0;46;46;0;0;0;0;0;0;0;21;;2026-08-29 09:22:36;2026-08-29 09:22:36
25626;209;15;1013;1;0;1;0;81;81;0;0;0;0;0;0;0;22;;2026-08-29 09:22:36;2026-08-29 09:22:36
25627;209;15;1020;1;0;0;0;90;90;0;0;0;0;0;0;0;23;;2026-08-29 09:22:36;2026-08-29 09:22:36
25628;209;15;1060;1;0;0;0;90;90;0;0;0;0;0;0;0;32;;2026-08-29 09:22:36;2026-08-29 09:22:36
25629;209;15;1004;1;0;0;0;90;90;0;0;0;0;0;0;0;41;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
25630;209;15;1015;0;0;0;;;0;0;0;0;0;0;0;0;1;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
25631;209;15;1005;0;1;0;46;90;44;0;0;0;0;0;0;0;2;;2026-08-29 09:22:36;2026-08-29 09:22:36
25632;209;15;1007;0;1;0;81;90;9;0;0;0;0;0;0;0;4;;2026-08-29 09:22:36;2026-08-29 09:22:36
25633;209;15;1138;0;0;0;;;0;0;0;0;0;0;0;0;9;;2026-08-29 09:22:36;2026-08-29 09:22:36
25634;209;15;1016;0;0;0;;;0;0;0;0;0;0;0;0;16;;2026-08-29 09:22:36;2026-08-29 09:22:36
25635;209;15;1012;0;0;0;;;0;0;0;0;0;0;0;0;19;;2026-08-29 09:22:36;2026-08-29 09:22:36
25636;209;15;1022;0;1;0;70;90;20;0;0;0;0;0;0;0;29;;2026-08-29 09:22:36;2026-08-29 09:22:36
25637;209;15;1014;0;0;0;;;0;0;0;0;0;0;0;0;30;;2026-08-29 09:22:36;2026-08-29 09:22:36
25638;209;15;1059;0;1;0;46;90;44;0;0;0;0;0;0;0;31;;2026-08-29 09:22:36;2026-08-29 09:22:36
25658;209;15;1062;0;0;1;;;0;0;0;0;0;0;0;0;;;2026-08-29 09:22:36;2026-08-29 09:22:36
25659;209;15;1045;0;1;0;7;90;83;0;0;0;0;0;0;0;;;2026-08-29 09:22:36;2026-08-29 09:22:36
26000;218;15;1006;1;0;0;0;90;90;0;0;0;0;0;0;0;3;;2026-08-29 09:22:36;2026-08-29 09:22:36
26001;218;15;1008;1;0;1;0;68;68;0;0;0;0;0;0;0;5;;2026-08-29 09:22:36;2026-08-29 09:22:36
26002;218;15;1009;1;0;0;0;90;90;0;0;0;0;0;0;0;6;;2026-08-29 09:22:36;2026-08-29 09:22:36
26003;218;15;1012;1;0;0;0;90;90;0;0;0;0;0;0;0;19;;2026-08-29 09:22:36;2026-08-29 09:22:36
26004;218;15;1018;1;0;1;0;54;54;0;0;0;0;0;0;0;20;;2026-08-29 09:22:36;2026-08-29 09:22:36
26005;218;15;1013;1;0;1;0;78;78;0;0;0;0;0;0;0;22;;2026-08-29 09:22:36;2026-08-29 09:22:36
26006;218;15;1020;1;0;0;0;90;90;0;0;0;0;0;0;0;23;;2026-08-29 09:22:36;2026-08-29 09:22:36
26007;218;15;1022;1;0;1;0;78;78;0;0;0;0;0;0;0;29;;2026-08-29 09:22:36;2026-08-29 09:22:36
26008;218;15;1014;1;0;0;0;90;90;0;0;0;0;0;0;0;30;;2026-08-29 09:22:36;2026-08-29 09:22:36
26009;218;15;1059;1;0;0;0;90;90;0;0;0;0;0;0;0;31;;2026-08-29 09:22:36;2026-08-29 09:22:36
26010;218;15;1004;1;0;0;0;90;90;0;0;0;0;0;0;0;41;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
26011;218;15;1015;0;0;0;;;0;0;0;0;0;0;0;0;1;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
26012;218;15;1005;0;1;0;68;90;22;0;0;0;0;0;0;0;2;;2026-08-29 09:22:36;2026-08-29 09:22:36
26013;218;15;1007;0;0;0;;;0;0;0;0;0;0;0;0;4;;2026-08-29 09:22:36;2026-08-29 09:22:36
26014;218;15;1138;0;1;0;68;90;22;0;0;0;0;0;0;0;9;;2026-08-29 09:22:36;2026-08-29 09:22:36
26015;218;15;1016;0;0;0;;;0;0;0;0;0;0;0;0;16;;2026-08-29 09:22:36;2026-08-29 09:22:36
26016;218;15;1019;0;1;0;54;90;36;0;0;0;0;0;0;0;21;;2026-08-29 09:22:36;2026-08-29 09:22:36
26017;218;15;1021;0;0;0;;;0;0;0;0;0;0;0;0;28;;2026-08-29 09:22:36;2026-08-29 09:22:36
26018;218;15;1155;0;0;0;;;0;0;0;0;0;0;0;0;33;;2026-08-29 09:22:36;2026-08-29 09:22:36
26019;218;15;1023;0;1;0;78;90;12;0;0;0;0;0;0;0;38;;2026-08-29 09:22:36;2026-08-29 09:22:36
26040;218;15;1044;0;0;1;;;0;0;0;0;0;0;0;0;;;2026-08-29 09:22:36;2026-08-29 09:22:36
