event_id;match_id;event_type_id;minute;second;team_id;player_id;related_player_id;value;notes;external_id;event_type_code;event_type_name;player_first_name;player_last_name;related_player_first_name;related_player_last_name;event_team_name;relation_to_selected_team
23390;31102;1;60;0;3;162;;goal;;;GOAL;Tor;Sem Luca;Schneider;;;FSG Ehrang-Pfalzel;own
23391;31102;7;65;0;3;511;173;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Samuel;Bayerath;Marvin;Marvin;FSG Ehrang-Pfalzel;own
23392;31102;6;65;0;3;173;511;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Marvin;Marvin;Samuel;Bayerath;FSG Ehrang-Pfalzel;own
23393;31102;1;69;0;3;3134;;goal;;;GOAL;Tor;William Robert;Hutchinson;;;FSG Ehrang-Pfalzel;own
23394;31102;7;71;0;3;176;2913;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Jason;Pütz;Philipp;Schmidt;FSG Ehrang-Pfalzel;own
23395;31102;6;71;0;3;2913;176;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Philipp;Schmidt;Jason;Pütz;FSG Ehrang-Pfalzel;own
23396;31102;1;81;0;3;2913;;goal;;;GOAL;Tor;Philipp;Schmidt;;;FSG Ehrang-Pfalzel;own
23397;31102;7;86;0;157;2922;3137;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Nico;Welter;Alexander;Schirra;SV Farschweiler;opponent
23398;31102;6;86;0;157;3137;2922;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Alexander;Schirra;Nico;Welter;SV Farschweiler;opponent
23399;31102;1;89;0;3;162;;goal;;;GOAL;Tor;Sem Luca;Schneider;;;FSG Ehrang-Pfalzel;own
23446;31105;7;0;0;158;426;483;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Lasse;Lasse;Maximilian;Geib;SV Trier-Irsch II;opponent
23447;31105;6;0;0;158;483;426;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Maximilian;Geib;Lasse;Lasse;SV Trier-Irsch II;opponent
23448;31105;7;0;0;158;2961;14;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Cleiton;Pache;Florian;Meo;SV Trier-Irsch II;opponent
23449;31105;6;0;0;158;14;2961;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Florian;Meo;Cleiton;Pache;SV Trier-Irsch II;opponent
23450;31105;7;0;0;158;2963;2969;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Maximilian;Mehlich;Kevin;Schener;SV Trier-Irsch II;opponent
23451;31105;6;0;0;158;2969;2963;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Kevin;Schener;Maximilian;Mehlich;SV Trier-Irsch II;opponent
23452;31105;7;0;0;158;2958;2964;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Mika;Mehlich;Peer;Roth;SV Trier-Irsch II;opponent
23453;31105;6;0;0;158;2964;2958;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Peer;Roth;Mika;Mehlich;SV Trier-Irsch II;opponent
23454;31105;7;0;0;3;511;2911;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Samuel;Bayerath;Janne;Naber;FSG Ehrang-Pfalzel;own
23455;31105;6;0;0;3;2911;511;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Janne;Naber;Samuel;Bayerath;FSG Ehrang-Pfalzel;own
23456;31105;7;0;0;3;265;172;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Thorsten;Lauterbach;Nikolai;Smirnov;FSG Ehrang-Pfalzel;own
23457;31105;6;0;0;3;172;265;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Nikolai;Smirnov;Thorsten;Lauterbach;FSG Ehrang-Pfalzel;own
23458;31105;7;0;0;3;176;167;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Jason;Pütz;Rene;Jahn;FSG Ehrang-Pfalzel;own
23459;31105;6;0;0;3;167;176;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Rene;Jahn;Jason;Pütz;FSG Ehrang-Pfalzel;own
23460;31105;3;22;0;158;;;yellow;Gelbe Karte 22’;;YELLOW_CARD;Gelbe Karte;;;;;SV Trier-Irsch II;opponent
23461;31105;1;23;0;158;2959;;goal;;;GOAL;Tor;Maximilian;Dollwett;;;SV Trier-Irsch II;opponent
23462;31105;3;44;0;158;;;yellow;Gelbe Karte 44’;;YELLOW_CARD;Gelbe Karte;;;;;SV Trier-Irsch II;opponent
23463;31105;3;55;0;158;;;yellow;Gelbe Karte 55’;;YELLOW_CARD;Gelbe Karte;;;;;SV Trier-Irsch II;opponent
23464;31105;3;60;0;3;;;yellow;60’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
23465;31105;1;66;0;3;511;;goal;;;GOAL;Tor;Samuel;Bayerath;;;FSG Ehrang-Pfalzel;own
23466;31105;1;70;0;3;172;;goal;;;GOAL;Tor;Nikolai;Smirnov;;;FSG Ehrang-Pfalzel;own
23467;31105;1;88;0;3;162;;goal;;;GOAL;Tor;Sem Luca;Schneider;;;FSG Ehrang-Pfalzel;own
23698;31116;1;12;0;3;168;;goal;;;GOAL;Tor;Andreas;Huwer;;;FSG Ehrang-Pfalzel;own
23699;31116;1;19;0;159;420;;goal;;;GOAL;Tor;Nick;Stevens;;;TuS Mosella Schweich III;opponent
23700;31116;1;21;0;159;3147;;goal;;;GOAL;Tor;Silas;Quare;;;TuS Mosella Schweich III;opponent
23701;31116;1;26;0;159;2998;;goal;;;GOAL;Tor;Benjamin;Lawson;;;TuS Mosella Schweich III;opponent
23702;31116;1;32;0;3;176;;goal;;;GOAL;Tor;Jason;Pütz;;;FSG Ehrang-Pfalzel;own
23703;31116;7;41;0;159;2993;3001;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Peter;Wallerath;Moritz;Grünen;TuS Mosella Schweich III;opponent
23704;31116;6;41;0;159;3001;2993;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Moritz;Grünen;Peter;Wallerath;TuS Mosella Schweich III;opponent
23705;31116;1;44;0;3;168;;goal;;;GOAL;Tor;Andreas;Huwer;;;FSG Ehrang-Pfalzel;own
23706;31116;3;45;0;159;;;yellow;45’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;TuS Mosella Schweich III;opponent
23707;31116;1;45;0;3;173;;goal;;;GOAL;Tor;Marvin;Marvin;;;FSG Ehrang-Pfalzel;own
23708;31116;7;46;0;159;2988;2999;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Finn;Bracker;Michael;Meilen;TuS Mosella Schweich III;opponent
23709;31116;6;46;0;159;2999;2988;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Michael;Meilen;Finn;Bracker;TuS Mosella Schweich III;opponent
23710;31116;7;46;0;3;170;365;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Julien;Masselot;Mattheo;Fuhs;FSG Ehrang-Pfalzel;own
23711;31116;6;46;0;3;365;170;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Mattheo;Fuhs;Julien;Masselot;FSG Ehrang-Pfalzel;own
23712;31116;8;47;0;3;161;;penalty_goal;;;PENALTY_GOAL;Elfmetertor;Sascha;Kraus;;;FSG Ehrang-Pfalzel;own
23713;31116;7;57;0;3;264;3134;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Finn;Konrad;William Robert;Hutchinson;FSG Ehrang-Pfalzel;own
23714;31116;6;57;0;3;3134;264;substitution_in;;;SUBSTITUTION_IN;Einwechslung;William Robert;Hutchinson;Finn;Konrad;FSG Ehrang-Pfalzel;own
23715;31116;7;60;0;159;420;3126;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Nick;Stevens;Hannes;Jägen;TuS Mosella Schweich III;opponent
23716;31116;6;60;0;159;3126;420;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Hannes;Jägen;Nick;Stevens;TuS Mosella Schweich III;opponent
23717;31116;7;65;0;3;173;2912;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Marvin;Marvin;Pascal;Schmitt;FSG Ehrang-Pfalzel;own
23718;31116;6;65;0;3;2912;173;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Pascal;Schmitt;Marvin;Marvin;FSG Ehrang-Pfalzel;own
23719;31116;7;65;0;3;172;265;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Nikolai;Smirnov;Thorsten;Lauterbach;FSG Ehrang-Pfalzel;own
23720;31116;6;65;0;3;265;172;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Thorsten;Lauterbach;Nikolai;Smirnov;FSG Ehrang-Pfalzel;own
23721;31116;3;68;0;159;;;yellow;68’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;TuS Mosella Schweich III;opponent
23722;31116;7;70;0;3;176;2913;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Jason;Pütz;Philipp;Schmidt;FSG Ehrang-Pfalzel;own
23723;31116;6;70;0;3;2913;176;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Philipp;Schmidt;Jason;Pütz;FSG Ehrang-Pfalzel;own
23765;31121;7;0;0;147;3027;3034;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Esaias Aron;Gebre;Fabian;Mart;DJK Morscheid;opponent
23766;31121;6;0;0;147;3034;3027;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Fabian;Mart;Esaias Aron;Gebre;DJK Morscheid;opponent
