lineup_id;match_id;team_id;player_id;is_starting;shirt_number;position
36432;31089;3;173;1;11;
36433;31089;3;511;1;13;
36434;31089;3;176;1;14;
36435;31089;3;162;1;19;
36436;31089;3;264;1;21;
36437;31089;3;2910;1;1;Torwart
36438;31089;3;169;1;2;
36439;31089;3;166;1;5;
36440;31089;3;265;1;6;
36441;31089;3;170;1;7;
36442;31089;3;167;1;8;
36443;31089;3;168;0;9;
36444;31089;3;263;0;10;
36445;31089;3;2911;0;12;
36446;31089;3;2912;0;20;
36447;31089;3;2913;0;24;
36831;31102;3;2910;1;1;Torwart
36832;31102;3;169;1;2;
36833;31102;3;166;1;5;
36834;31102;3;265;1;6;
36835;31102;3;170;1;7;
36836;31102;3;168;1;9;
36837;31102;3;511;1;13;
36838;31102;3;176;1;14;
36839;31102;3;162;1;19;
36840;31102;3;2912;1;20;
36841;31102;3;264;1;21;
36842;31102;3;3134;0;3;
36843;31102;3;167;0;8;
36844;31102;3;263;0;10;
36845;31102;3;173;0;11;
36846;31102;3;2911;0;12;
36847;31102;3;161;0;18;
36848;31102;3;2913;0;24;
36942;31105;3;511;1;13;
36943;31105;3;176;1;14;
36944;31105;3;162;1;19;
36945;31105;3;2912;1;20;
36946;31105;3;264;1;21;
36947;31105;3;2910;1;1;Torwart
36948;31105;3;169;1;2;
36949;31105;3;166;1;5;
36950;31105;3;265;1;6;
36951;31105;3;170;1;7;
36952;31105;3;168;1;9;
36953;31105;3;3134;0;3;
36954;31105;3;167;0;8;
36955;31105;3;173;0;11;
36956;31105;3;2911;0;12;
36957;31105;3;172;0;16;
36958;31105;3;160;0;17;
36959;31105;3;2913;0;24;
37275;31116;3;2911;1;12;Torwart
37276;31116;3;166;1;5;
37277;31116;3;170;1;7;
37278;31116;3;168;1;9;
37279;31116;3;173;1;11;
37280;31116;3;176;1;14;
37281;31116;3;172;1;16;
37282;31116;3;160;1;17;
37283;31116;3;161;1;18;
37284;31116;3;162;1;19;
37285;31116;3;264;1;21;
37286;31116;3;365;0;2;
37287;31116;3;3134;0;3;
37288;31116;3;265;0;6;
37289;31116;3;3178;0;15;
37290;31116;3;2912;0;20;
37291;31116;3;2913;0;24;
37446;31121;3;166;1;15;
37447;31121;3;160;1;17;
37448;31121;3;161;1;18;
37449;31121;3;162;1;19;
37450;31121;3;264;1;21;
37451;31121;3;2911;1;12;Torwart
37452;31121;3;365;1;2;
37453;31121;3;170;1;7;
37454;31121;3;168;1;9;
37455;31121;3;511;1;13;
37456;31121;3;176;1;14;
37457;31121;3;3134;0;3;
37458;31121;3;167;0;8;
37459;31121;3;173;0;11;
37460;31121;3;172;0;16;
37461;31121;3;2912;0;20;
37462;31121;3;2913;0;24;
