event_id;match_id;event_type_id;minute;second;team_id;player_id;related_player_id;value;notes;external_id;event_type_code;event_type_name;player_first_name;player_last_name;related_player_first_name;related_player_last_name;event_team_name;relation_to_selected_team
1225;55;7;71;0;2;315;351;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Dreni;Mehani;Kingsley;Njoume Essouma;DJK St. Matthias Trier;opponent
1226;55;6;71;0;2;351;315;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Kingsley;Njoume Essouma;Dreni;Mehani;DJK St. Matthias Trier;opponent
1227;55;3;74;0;3;;;yellow;74’ Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
1228;55;7;77;0;3;263;324;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Janik;Lerch;Elia;Monzel;FSG Ehrang-Pfalzel;own
1229;55;6;77;0;3;324;263;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Elia;Monzel;Janik;Lerch;FSG Ehrang-Pfalzel;own
1230;55;1;81;0;3;172;;goal;;;GOAL;Tor;Nikolai;Smirnov;;;FSG Ehrang-Pfalzel;own
1231;55;1;86;0;2;63;;goal;;;GOAL;Tor;Baran;Hassan;;;DJK St. Matthias Trier;opponent
1232;55;4;88;0;3;;;red;88’ Rote Karte;;RED_CARD;Rote Karte;;;;;FSG Ehrang-Pfalzel;own
1233;55;3;90;0;2;;;yellow;Gelbe Karte 90 ’ +4;;YELLOW_CARD;Gelbe Karte;;;;;DJK St. Matthias Trier;opponent
1234;55;3;90;0;3;;;yellow;90 ’ +5 Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
1235;55;1;90;0;2;59;;goal;;;GOAL;Tor;Josip;Komso;;;DJK St. Matthias Trier;opponent
1286;59;3;10;0;3;;;yellow;Gelbe Karte 10’;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
1287;59;3;15;0;3;;;yellow;Gelbe Karte 15’;;YELLOW_CARD;Gelbe Karte;;;;;FSG Ehrang-Pfalzel;own
1288;59;4;40;0;3;;;red;Rote Karte 40’;;RED_CARD;Rote Karte;;;;;FSG Ehrang-Pfalzel;own
1289;59;1;42;0;10;349;;goal;;;GOAL;Tor;Peter;Thielmann;;;SV Föhren;opponent
1290;59;3;45;0;10;;;yellow;45 ’ +2 Gelbe Karte;;YELLOW_CARD;Gelbe Karte;;;;;SV Föhren;opponent
1291;59;7;46;0;3;164;324;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Oliver;Mertes;Elia;Monzel;FSG Ehrang-Pfalzel;own
1292;59;6;46;0;3;324;164;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Elia;Monzel;Oliver;Mertes;FSG Ehrang-Pfalzel;own
1293;59;7;46;0;10;349;20;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;Peter;Thielmann;Thomas;Wagner;SV Föhren;opponent
1294;59;6;46;0;10;20;349;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Thomas;Wagner;Peter;Thielmann;SV Föhren;opponent
1295;59;7;46;0;10;21;32;substitution_out;;;SUBSTITUTION_OUT;Auswechslung;;Nico;Marius;Tonner;SV Föhren;opponent
1296;59;6;46;0;10;32;21;substitution_in;;;SUBSTITUTION_IN;Einwechslung;Marius;Tonner;;Nico;SV Föhren;opponent
1297;59;1;49;0;10;20;;goal;;;GOAL;Tor;Thomas;Wagner;;;SV Föhren;opponent
