club_id,club_name,club_short_name,association,country,founded,city,website,logo
c_0001,FSG Ehrang-Pfalzel,FSG Ehrang,FVR,Deutschland,1948,Trier,, 
c_0002,SV Eintracht Trier 05,Eintracht Trier,FVR,Deutschland,1905,Trier,,
